"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Richness_change"
"299","0-6",9,"Radial",11,"False","True",-1
"300","0-6",9,"Radial",12,"True","True",2
"301","0-6",9,"Radial",13,"False","True",-5
"302","0-6",9,"Radial",14,"True","False",4
"303","0-6",9,"Radial",15,"False","False",-7
"304","0-6",9,"Radial",16,"True","True",-5
"305","0-6",9,"Radial",17,"False","False",-6
"306","0-6",9,"Radial",18,"True","True",2
"307","0-6",9,"Radial",19,"False","True",-2
"308","0-6",9,"Radial",20,"True","True",0
"309","0-6",9,"Radial",21,"False","True",-8
"310","0-6",9,"Radial",22,"True","True",-2
"311","0-6",9,"Radial",23,"False","True",-5
"312","0-6",9,"Radial",24,"True","True",-13
"313","0-6",9,"Radial",25,"False","True",-1
"314","0-6",9,"Radial",26,"True","True",-11
"315","0-6",9,"Radial",27,"False","True",-9
"316","0-6",9,"Radial",28,"True","True",-4
"317","0-6",9,"Radial",29,"False","True",-9
"318","0-6",9,"Radial",30,"True","True",-12
"319","0-6",9,"Radial",31,"False","True",-10
"320","0-6",9,"Radial",32,"True","True",-4
"321","0-6",10,"Gap",1,"False","False",3
"322","0-6",10,"Gap",2,"True","True",-12
"323","0-6",10,"Gap",3,"False","True",4
"324","0-6",10,"Gap",4,"True","False",-4
"325","0-6",10,"Gap",5,"False","False",-2
"326","0-6",10,"Gap",6,"True","True",3
"327","0-6",10,"Gap",7,"False","True",-5
"328","0-6",10,"Gap",8,"True","True",0
"329","0-6",10,"Gap",9,"False","True",2
"330","0-6",10,"Gap",10,"True","False",2
"331","0-6",10,"Gap",11,"False","True",3
"332","0-6",10,"Gap",12,"True","True",-2
"333","0-6",10,"Gap",13,"False","False",3
"334","0-6",10,"Gap",14,"True","False",9
"335","0-6",10,"Gap",15,"False","False",1
"336","0-6",10,"Gap",16,"True","True",0
"337","0-6",10,"Gap",17,"False","False",2
"338","0-6",10,"Gap",18,"True","False",-6
"339","0-6",10,"Gap",19,"False","False",1
"340","0-6",10,"Gap",20,"True","True",-3
"341","0-6",10,"Gap",21,"False","False",-2
"342","0-6",10,"Gap",22,"True","True",0
"343","0-6",10,"Gap",23,"False","False",-1
"344","0-6",10,"Gap",24,"True","True",-5
"345","0-6",10,"Gap",25,"False","True",-2
"346","0-6",10,"Gap",26,"True","True",-2
"347","0-6",10,"Gap",27,"False","False",-2
