Tree Number,Plot,Treatment,Large,Alive at year 0,DBH year 0,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Alive at year 6,DBH year 6,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
267,3,T2: Radial,True,True,29.3,0.0,0.0,0.0,True,33.5,0.0,0.0,0.0
268,3,T2: Radial,True,True,35.0,0.0,0.0,0.0,True,38.1,0.0,0.0,0.0
541,3,T2: Radial,,True,25.1,,,,True,26.7,0.0,0.0,0.0
542,3,T2: Radial,,True,24.8,,,,True,28.5,0.0,0.0,0.0
544,3,T2: Radial,,True,29.9,,,,True,31.6,0.0,0.0,0.0
546,3,T2: Radial,,True,23.3,,,,True,24.5,0.0,0.0,0.0
547,3,T2: Radial,,True,29.8,,,,True,32.0,0.0,0.0,0.0
548,3,T2: Radial,,True,24.8,,,,True,27.0,0.0,0.0,0.0
549,3,T2: Radial,,True,27.3,,,,True,27.3,0.0,0.0,0.0
550,3,T2: Radial,,True,22.3,,,,True,23.4,0.0,0.0,0.0
552,3,T2: Radial,,True,27.0,,,,True,29.2,0.0,0.0,0.0
551,3,T2: Radial,,True,25.1,,,,True,28.0,0.0,0.0,0.0
543,3,T2: Radial,,True,31.1,0.0,0.0,0.0,True,35.4,0.0,0.0,0.0
545,3,T2: Radial,,True,32.5,0.0,0.0,0.0,True,35.3,0.0,0.0,0.0
554,3,T2: Radial,,True,31.0,0.0,0.0,0.0,True,34.0,0.0,0.0,0.0
555,3,T2: Radial,,True,34.3,0.0,0.0,0.0,True,36.8,0.0,0.0,0.0
556,3,T2: Radial,,True,35.3,0.0,0.0,0.0,True,37.4,1.0,0.0,0.0
557,3,T2: Radial,,True,30.0,0.0,0.0,0.0,True,33.5,0.0,0.0,0.0
558,3,T2: Radial,,True,40.0,0.0,0.0,0.0,True,43.7,0.0,0.0,0.0
559,3,T2: Radial,,True,36.0,,,,True,38.3,0.0,0.0,0.0
560,3,T2: Radial,,True,30.2,0.0,0.0,0.0,True,32.5,0.0,0.0,0.0
561,3,T2: Radial,,True,30.6,0.0,0.0,0.0,True,33.0,,,
21,1,T1: Gap,True,True,39.8,0,0.0,0.0,True,42.4,0,,
22,1,T1: Gap,True,True,40.2,0,0.0,0.0,True,43.0,0,,
23,1,T1: Gap,True,True,45.2,0,0.0,0.0,True,48.4,0,,
24,1,T1: Gap,True,True,38.0,0,0.0,1.0,True,39.1,1,,
25,1,T1: Gap,True,True,43.0,0,0.0,0.0,True,45.2,0,,
26,1,T1: Gap,True,True,44.0,0,0.0,0.0,True,46.6,0,,
27,1,T1: Gap,True,True,43.5,0,1.0,1.0,True,43.8,0,,
28,1,T1: Gap,True,True,35.1,0,0.0,0.0,True,37.0,0,,
29,1,T1: Gap,True,True,38.0,0,0.0,0.0,True,38.0,1,,
30,1,T1: Gap,True,True,49.5,1,0.0,0.0,True,50.5,0,,
31,1,T1: Gap,True,True,38.2,0,0.0,0.0,True,41.0,0,,
32,1,T1: Gap,True,True,43.7,0,0.0,0.0,True,44.4,0,,
33,1,T1: Gap,True,True,62.0,0,0.0,0.0,True,63.5,0,,
34,1,T1: Gap,True,True,54.0,1,0.0,0.0,True,60.2,0,,
